[00:06:13.130 --> 00:06:13.610]   impossible
[00:11:45.560 --> 00:11:45.750]   do
[00:11:45.750 --> 00:11:46.050]   need
[00:11:46.050 --> 00:11:46.220]   to
[00:11:46.220 --> 00:11:46.570]   take
[00:11:46.570 --> 00:11:46.920]   care
[00:11:46.920 --> 00:11:47.020]   of
[00:11:47.020 --> 00:11:47.520]   it
[00:11:47.520 --> 00:11:47.630]   and
[00:11:47.630 --> 00:11:47.820]   as
[00:11:47.820 --> 00:11:48.070]   we
[00:11:48.070 --> 00:11:48.540]   enter
[00:11:48.540 --> 00:11:48.880]   the
[00:11:48.880 --> 00:11:49.340]   anthrop
[00:11:49.340 --> 00:11:49.490]  oc
[00:11:49.490 --> 00:11:49.740]  ene
[00:11:49.740 --> 00:11:49.820]   as
[00:11:49.820 --> 00:11:49.950]   we
[00:11:49.950 --> 00:11:50.150]   get
[00:11:50.150 --> 00:11:50.280]   as
[00:11:50.280 --> 00:11:50.480]   we
[00:11:50.480 --> 00:11:50.870]   humans
[00:11:50.870 --> 00:11:51.080]   have
[00:11:51.080 --> 00:11:51.790]   gotten
[00:11:51.790 --> 00:11:52.270]   so
[00:11:52.270 --> 00:11:52.490]   uh
[00:11:52.490 --> 00:11:53.820]   sophisticated
[00:11:53.820 --> 00:11:54.180]   and
[00:11:54.180 --> 00:11:54.770]   large
[00:11:54.770 --> 00:11:55.130]   and
[00:11:55.130 --> 00:11:56.200]   impactful
[00:11:56.200 --> 00:11:56.510]   as
[00:11:56.510 --> 00:11:56.680]   we
[00:11:56.680 --> 00:11:57.270]   str
[00:11:57.270 --> 00:11:57.410]  ide
[00:11:57.410 --> 00:11:58.100]   across
[00:11:58.100 --> 00:11:58.580]   this
[00:11:58.580 --> 00:11:59.360]   planet
[00:11:59.360 --> 00:11:59.780]   you
[00:11:59.780 --> 00:12:00.270]   know
[00:12:00.270 --> 00:12:00.530]   it
[00:12:00.530 --> 00:12:00.850]  's
[00:12:00.850 --> 00:12:01.120]   that
[00:12:01.120 --> 00:12:01.400]   that
[00:12:01.400 --> 00:12:01.540]   is
[00:12:01.540 --> 00:12:01.890]   gonna
[00:12:01.890 --> 00:12:02.170]   as
[00:12:02.170 --> 00:12:02.220]   we
[00:12:02.220 --> 00:12:02.740]   continue
[00:12:02.740 --> 00:12:02.870]   we
[00:12:02.870 --> 00:12:03.150]   want
[00:12:03.150 --> 00:12:03.290]   to
[00:12:03.290 --> 00:12:03.500]   use
[00:12:03.500 --> 00:12:03.650]   a
[00:12:03.650 --> 00:12:03.780]   lot
[00:12:03.780 --> 00:12:03.920]   of
[00:12:03.920 --> 00:12:04.380]   energy
[00:12:04.380 --> 00:12:04.480]   we
[00:12:04.480 --> 00:12:04.760]   want
[00:12:04.760 --> 00:12:04.900]   to
[00:12:04.900 --> 00:12:05.110]   use
[00:12:05.110 --> 00:12:05.270]   a
[00:12:05.270 --> 00:12:05.390]   lot
[00:12:05.390 --> 00:12:05.530]   of
[00:12:05.530 --> 00:12:06.020]   energy
[00:12:06.020 --> 00:12:06.280]   per
[00:12:06.280 --> 00:12:06.810]   capita
[00:12:06.810 --> 00:12:06.980]   we
[00:12:06.980 --> 00:12:07.700]  've
[00:12:07.700 --> 00:12:07.770]   gotten
[00:12:07.770 --> 00:12:08.440]   amazing
[00:12:08.440 --> 00:12:08.920]   things
[00:12:08.920 --> 00:12:09.090]   we
[00:12:09.090 --> 00:12:09.350]   don
[00:12:09.350 --> 00:12:09.570]  't
[00:12:09.570 --> 00:12:09.870]   want
[00:12:09.870 --> 00:12:10.040]   to
[00:12:10.040 --> 00:12:10.210]   go
[00:12:10.210 --> 00:12:11.110]   backwards
[00:12:11.110 --> 00:12:11.270]   you
[00:12:11.270 --> 00:12:11.620]   know
[00:12:11.620 --> 00:12:11.890]   if
[00:12:11.890 --> 00:12:12.050]   you
[00:12:12.050 --> 00:12:12.490]   think
[00:12:12.490 --> 00:12:12.930]   about
[00:12:12.930 --> 00:12:13.240]   um
[00:12:14.520 --> 00:12:14.810]
[00:12:14.810 --> 00:12:15.200]   the
[00:12:15.200 --> 00:12:15.250]   good
[00:12:15.250 --> 00:12:15.610]   old
[00:12:15.610 --> 00:12:15.880]   days
[00:12:15.880 --> 00:12:16.270]   they
[00:12:16.270 --> 00:12:16.520]  're
[00:12:16.520 --> 00:12:17.140]   mostly
[00:12:17.140 --> 00:12:17.330]   an
[00:12:17.330 --> 00:12:18.070]   illusion
[00:12:18.070 --> 00:12:18.690]   like
[00:12:18.690 --> 00:12:18.770]   in
[00:12:18.770 --> 00:12:19.270]   almost
[00:12:19.270 --> 00:12:19.760]   every
[00:12:19.760 --> 00:12:20.050]   way
[00:12:20.050 --> 00:12:20.630]   life
[00:12:20.630 --> 00:12:20.640]   is
[00:12:20.640 --> 00:12:21.210]   better
[00:12:21.210 --> 00:12:21.610]   for
[00:12:21.610 --> 00:12:21.940]   almost
[00:12:21.940 --> 00:12:22.540]   everyone
[00:12:22.540 --> 00:12:22.910]   today
[00:12:22.910 --> 00:12:23.310]   than
[00:12:23.310 --> 00:12:23.360]   it
[00:12:23.360 --> 00:12:23.580]   was
[00:12:23.580 --> 00:12:23.790]   say
[00:12:23.790 --> 00:12:24.240]   50
[00:12:24.240 --> 00:12:24.770]   years
[00:12:24.770 --> 00:12:24.840]   ago
[00:12:24.840 --> 00:12:24.990]   or
[00:12:24.990 --> 00:12:25.670]   100
[00:12:25.670 --> 00:12:26.040]   years
[00:12:26.040 --> 00:12:26.190]   we
[00:12:26.190 --> 00:12:26.410]   all
[00:12:26.410 --> 00:12:26.560]   we
[00:12:26.560 --> 00:12:26.860]   live
[00:12:26.860 --> 00:12:27.300]   better
[00:12:27.300 --> 00:12:27.690]   lives
[00:12:27.690 --> 00:12:27.850]   by
[00:12:27.850 --> 00:12:28.160]   and
[00:12:28.160 --> 00:12:28.480]   large
[00:12:28.480 --> 00:12:28.700]   than
[00:12:28.700 --> 00:12:29.120]   our
[00:12:29.120 --> 00:12:30.010]   grandparents
[00:12:30.010 --> 00:12:30.250]   did
[00:12:30.250 --> 00:12:30.530]   and
[00:12:30.530 --> 00:12:30.890]   their
[00:12:30.890 --> 00:12:31.850]   grandparents
[00:12:31.850 --> 00:12:32.100]   did
[00:12:32.100 --> 00:12:32.340]   and
[00:12:32.340 --> 00:12:32.490]   so
[00:12:32.490 --> 00:12:32.660]   on
[00:12:32.660 --> 00:12:33.020]   and
[00:12:33.020 --> 00:12:33.140]   you
[00:12:33.140 --> 00:12:33.380]   can
[00:12:33.380 --> 00:12:33.620]   see
[00:12:33.620 --> 00:12:33.940]   that
[00:12:33.940 --> 00:12:34.090]   in
[00:12:34.090 --> 00:12:34.660]   global
[00:12:34.660 --> 00:12:34.920]   ill
[00:12:34.920 --> 00:12:35.260]  iter
[00:12:35.260 --> 00:12:35.520]  acy
[00:12:35.520 --> 00:12:35.950]   rates
[00:12:35.950 --> 00:12:36.470]   global
[00:12:36.470 --> 00:12:37.070]   poverty
[00:12:37.070 --> 00:12:37.510]   rates
[00:12:37.510 --> 00:12:38.030]   global
[00:12:38.030 --> 00:12:38.550]   infant
[00:12:38.550 --> 00:12:39.320]   mortality
[00:12:39.320 --> 00:12:39.750]   rates
[00:12:39.750 --> 00:12:40.320]   like
[00:12:40.320 --> 00:12:40.630]   almost
[00:12:40.630 --> 00:12:40.920]   any
[00:12:40.920 --> 00:12:41.480]   metric
[00:12:41.480 --> 00:12:41.680]   you
[00:12:41.680 --> 00:12:42.080]   choose
[00:12:42.080 --> 00:12:42.210]   we
[00:12:42.210 --> 00:12:42.470]  're
[00:12:42.470 --> 00:12:42.810]   better
[00:12:42.810 --> 00:12:43.010]   off
[00:12:43.010 --> 00:12:43.260]   than
[00:12:43.260 --> 00:12:43.400]   we
[00:12:43.400 --> 00:12:43.660]   used
[00:12:43.660 --> 00:12:43.790]   to
[00:12:43.790 --> 00:12:43.920]   be
[00:12:43.920 --> 00:12:44.160]   and
[00:12:44.160 --> 00:12:44.250]   we
[00:12:44.250 --> 00:12:44.500]   get
[00:12:44.500 --> 00:12:44.730]
[00:12:44.730 --> 00:12:44.790]   you
[00:12:44.790 --> 00:12:45.200]   know
[00:12:45.200 --> 00:12:45.900]   antibiotics
[00:12:45.900 --> 00:12:46.120]   and
[00:12:46.120 --> 00:12:46.470]   all
[00:12:46.470 --> 00:12:46.780]   kinds
[00:12:46.780 --> 00:12:46.900]   of
[00:12:46.900 --> 00:12:47.210]   life
[00:12:47.210 --> 00:12:47.290]  -
[00:12:47.290 --> 00:12:47.350]  s
[00:12:47.350 --> 00:12:47.740]  aving
[00:12:47.740 --> 00:12:48.290]   medical
[00:12:48.290 --> 00:12:48.600]   care
[00:12:48.600 --> 00:12:48.830]   and
[00:12:48.830 --> 00:12:48.980]   so
[00:12:48.980 --> 00:12:49.130]   on
[00:12:49.130 --> 00:12:49.360]   and
[00:12:49.360 --> 00:12:49.500]   so
[00:12:49.500 --> 00:12:50.140]   on
[00:12:50.140 --> 00:12:50.800]   and
[00:12:50.800 --> 00:12:51.360]   there
[00:12:51.360 --> 00:12:51.580]  's
[00:12:51.580 --> 00:12:51.920]   one
[00:12:51.920 --> 00:12:52.360]   thing
[00:12:52.360 --> 00:12:52.780]   that
[00:12:52.780 --> 00:12:53.150]   is
[00:12:53.150 --> 00:12:53.410]   moving
[00:12:53.410 --> 00:12:54.230]   backwards
[00:12:54.230 --> 00:12:54.490]   and
[00:12:54.490 --> 00:12:54.690]   it
[00:12:54.690 --> 00:12:54.810]  's
[00:12:54.810 --> 00:12:55.070]   the
[00:12:55.070 --> 00:12:55.950]   natural
[00:12:55.950 --> 00:12:56.130]   world
[00:12:56.130 --> 00:12:56.300]   so
[00:12:56.300 --> 00:12:56.540]   it
[00:12:56.540 --> 00:12:56.640]   is
[00:12:56.640 --> 00:12:56.730]   a
[00:12:56.730 --> 00:12:57.240]   fact
[00:12:57.240 --> 00:12:57.550]   that
[00:12:57.550 --> 00:12:58.230]   500
[00:12:58.230 --> 00:12:58.820]   years
[00:12:58.820 --> 00:12:59.170]   ago
[00:12:59.170 --> 00:12:59.460]   pre
[00:12:59.460 --> 00:12:59.580]  -
[00:12:59.580 --> 00:13:00.200]  indust
[00:13:00.200 --> 00:13:00.740]  rial
[00:13:00.740 --> 00:13:01.220]   age
[00:13:01.220 --> 00:13:01.260]   the
[00:13:01.260 --> 00:13:02.010]   natural
[00:13:02.010 --> 00:13:02.540]   world
[00:13:02.540 --> 00:13:02.960]   was
[00:13:02.960 --> 00:13:03.530]   pr
[00:13:03.530 --> 00:13:03.710]  istine
[00:13:03.710 --> 00:13:03.950]   um
[00:13:03.950 --> 00:13:04.130]   it
[00:13:04.130 --> 00:13:04.450]   was
[00:13:04.450 --> 00:13:05.510]   incredible
[00:13:05.510 --> 00:13:06.010]   and
[00:13:06.010 --> 00:13:06.050]   we
[00:13:06.050 --> 00:13:06.720]   have
[00:13:06.720 --> 00:13:07.140]   traded
[00:13:07.140 --> 00:13:07.530]   some
[00:13:07.530 --> 00:13:07.690]   of
[00:13:07.690 --> 00:13:08.060]   that
[00:13:08.060 --> 00:13:08.320]   pr
[00:13:08.320 --> 00:13:08.800]  istine
[00:13:08.800 --> 00:13:09.360]   beauty
[00:13:09.360 --> 00:13:09.630]   for
[00:13:09.630 --> 00:13:09.980]   all
[00:13:09.980 --> 00:13:10.440]   of
[00:13:10.440 --> 00:13:10.570]   these
[00:13:10.570 --> 00:13:11.040]   other
[00:13:11.040 --> 00:13:11.500]   gifts
[00:13:11.500 --> 00:13:11.880]   that
[00:13:11.880 --> 00:13:12.150]   we
[00:13:12.150 --> 00:13:12.430]   have
[00:13:12.430 --> 00:13:12.610]   as
[00:13:12.610 --> 00:13:12.780]   an
[00:13:12.780 --> 00:13:13.560]   advanced
[00:13:13.560 --> 00:13:14.320]   society
[00:13:14.320 --> 00:13:14.320]
[00:13:14.320 --> 00:13:14.670]   and
[00:13:14.670 --> 00:13:15.150]   we
[00:13:15.150 --> 00:13:15.250]   can
[00:13:15.250 --> 00:13:15.740]   have
[00:13:15.740 --> 00:13:16.190]   both
[00:13:16.190 --> 00:13:16.540]   but
[00:13:16.540 --> 00:13:16.770]   to
[00:13:16.770 --> 00:13:16.940]   do
[00:13:16.940 --> 00:13:17.600]   that
[00:13:17.600 --> 00:13:17.820]   we
[00:13:17.820 --> 00:13:18.170]   have
[00:13:18.170 --> 00:13:18.400]   to
[00:13:18.400 --> 00:13:18.630]   go
[00:13:18.630 --> 00:13:18.870]   to
[00:13:18.870 --> 00:13:19.580]   space
[00:13:19.580 --> 00:13:19.900]   and
[00:13:19.900 --> 00:13:20.360]   all
[00:13:20.360 --> 00:13:20.460]   of
[00:13:20.460 --> 00:13:21.070]   this
[00:13:21.070 --> 00:13:21.700]   really
[00:13:21.700 --> 00:13:21.900]   the
[00:13:21.900 --> 00:13:22.380]   most
[00:13:22.380 --> 00:13:23.440]   fundamental
[00:13:23.440 --> 00:13:24.320]   measure
[00:13:24.320 --> 00:13:24.360]   is
[00:13:24.360 --> 00:13:24.900]   energy
[00:13:24.900 --> 00:13:25.380]   usage
[00:13:25.380 --> 00:13:25.740]   per
[00:13:25.740 --> 00:13:26.260]   capita
[00:13:26.260 --> 00:13:26.460]   and
[00:13:26.460 --> 00:13:27.080]   when
[00:13:27.080 --> 00:13:27.230]   you
[00:13:27.230 --> 00:13:27.620]   look
[00:13:27.620 --> 00:13:27.830]   at
[00:13:27.830 --> 00:13:28.280]   you
[00:13:28.280 --> 00:13:28.490]   know
[00:13:28.490 --> 00:13:28.790]   you
[00:13:28.790 --> 00:13:28.970]   do
[00:13:28.970 --> 00:13:29.360]   want
[00:13:29.360 --> 00:13:29.640]   to
[00:13:29.640 --> 00:13:30.170]   continue
[00:13:30.170 --> 00:13:30.310]   to
[00:13:30.310 --> 00:13:30.510]   use
[00:13:30.510 --> 00:13:30.780]   more
[00:13:30.780 --> 00:13:30.980]   and
[00:13:30.980 --> 00:13:31.250]   more
[00:13:31.250 --> 00:13:31.660]   energy
[00:13:31.660 --> 00:13:31.790]   it
[00:13:31.790 --> 00:13:32.090]   is
[00:13:32.090 --> 00:13:32.260]   going
[00:13:32.260 --> 00:13:32.390]   to
[00:13:32.390 --> 00:13:32.660]   make
[00:13:32.660 --> 00:13:32.930]   your
[00:13:32.930 --> 00:13:33.200]   life
[00:13:33.200 --> 00:13:33.610]   better
[00:13:33.610 --> 00:13:33.740]   in
[00:13:33.740 --> 00:13:33.870]   so
[00:13:33.870 --> 00:13:34.140]   many
[00:13:34.140 --> 00:13:34.520]   ways
[00:13:34.520 --> 00:13:35.040]   but
[00:13:35.040 --> 00:13:35.150]   that
[00:13:35.150 --> 00:13:35.300]  's
[00:13:35.300 --> 00:13:35.510]   not
[00:13:35.510 --> 00:13:36.350]   compatible
[00:13:36.350 --> 00:13:37.190]   ultimately
[00:13:37.190 --> 00:13:37.830]   with
[00:13:37.830 --> 00:13:38.020]   living
[00:13:38.020 --> 00:13:38.180]   on
[00:13:38.180 --> 00:13:38.260]   a
[00:13:38.260 --> 00:13:38.760]   finite
[00:13:38.760 --> 00:13:39.460]   planet
[00:13:39.460 --> 00:13:39.510]   and
[00:13:39.510 --> 00:13:39.670]   so
[00:13:39.670 --> 00:13:39.830]   we
[00:13:39.830 --> 00:13:40.300]   have
[00:13:40.300 --> 00:13:40.380]   to
[00:13:40.380 --> 00:13:40.460]   go
[00:13:40.460 --> 00:13:40.580]   out
[00:13:40.580 --> 00:13:40.760]   into
[00:13:40.760 --> 00:13:41.000]   the
[00:13:41.000 --> 00:13:41.450]   solar
[00:13:41.450 --> 00:13:41.930]   system
[00:13:41.930 --> 00:13:42.360]   and
[00:13:42.360 --> 00:13:42.430]   and
[00:13:42.430 --> 00:13:42.930]   really
[00:13:42.930 --> 00:13:43.180]   you
[00:13:43.180 --> 00:13:43.600]   could
[00:13:43.600 --> 00:13:44.040]   argue
[00:13:44.040 --> 00:13:44.300]   that
[00:13:44.300 --> 00:13:44.300]   we
[00:13:44.300 --> 00:13:44.300]  're
[00:13:44.300 --> 00:13:44.300]   not
[00:13:44.300 --> 00:13:44.300]   going
[00:13:44.300 --> 00:13:44.300]   to
[00:13:44.300 --> 00:13:44.300]   be
[00:13:44.300 --> 00:13:44.300]   able
[00:13:44.300 --> 00:13:44.300]   to
[00:13:44.300 --> 00:13:44.300]   live
[00:13:44.300 --> 00:13:44.300]   on
[00:13:44.300 --> 00:13:44.300]   a
[00:13:44.300 --> 00:13:44.430]
[00:13:44.430 --> 00:13:44.910]   finite
[00:13:44.910 --> 00:13:45.300]   planet
[00:13:45.300 --> 00:13:45.350]   and
[00:13:45.350 --> 00:13:45.380]   so
[00:13:45.380 --> 00:13:45.410]   on
[00:13:45.410 --> 00:13:45.460]   and
[00:13:45.460 --> 00:13:45.490]   so
[00:13:45.490 --> 00:13:45.520]   on
[00:13:45.520 --> 00:13:45.600]   and
[00:13:45.600 --> 00:13:45.600]   so
[00:13:45.600 --> 00:13:45.620]   on
[00:13:45.620 --> 00:13:45.680]   and
[00:13:45.680 --> 00:13:45.710]   so
[00:13:45.710 --> 00:13:45.740]   on
[00:13:45.740 --> 00:13:45.790]   and
[00:13:45.790 --> 00:13:45.820]   so
[00:13:45.820 --> 00:13:45.850]   on
[00:13:45.850 --> 00:13:45.930]   and
[00:13:45.930 --> 00:13:45.940]   so
[00:13:45.940 --> 00:13:45.960]   on
[00:13:45.960 --> 00:13:46.010]   and
[00:13:46.010 --> 00:13:46.040]   so
[00:13:46.040 --> 00:13:46.070]   on
[00:13:46.070 --> 00:13:46.240]   and
[00:13:46.240 --> 00:13:46.300]   so
[00:13:46.300 --> 00:13:46.570]   on
[00:13:46.570 --> 00:13:46.960]   and
[00:13:46.960 --> 00:13:47.480]   so
[00:13:47.480 --> 00:13:47.820]   on
[00:13:47.820 --> 00:13:47.880]   and
[00:13:47.880 --> 00:13:48.140]   so
[00:13:48.140 --> 00:13:48.420]   on
[00:13:48.420 --> 00:13:48.800]   and
[00:13:48.800 --> 00:13:49.060]   so
[00:13:49.060 --> 00:13:49.320]   on
[00:13:49.320 --> 00:13:49.720]   and
[00:13:49.720 --> 00:13:49.980]   so
[00:13:49.980 --> 00:13:50.270]   on
[00:13:50.270 --> 00:13:50.640]   and
[00:13:50.640 --> 00:13:51.000]   so
[00:13:51.000 --> 00:13:51.240]   on
[00:13:51.240 --> 00:13:51.340]   and
[00:13:51.340 --> 00:13:51.380]   so
[00:13:51.380 --> 00:13:51.450]   on
[00:13:51.450 --> 00:13:51.540]   and
[00:13:51.540 --> 00:13:51.600]   so
[00:13:51.600 --> 00:13:51.660]   on
[00:13:51.660 --> 00:13:51.810]   and
[00:13:51.810 --> 00:13:51.870]   so
[00:13:51.870 --> 00:13:51.880]   on
[00:13:51.880 --> 00:13:51.960]   and
[00:13:51.960 --> 00:13:52.080]   so
[00:13:52.080 --> 00:13:52.080]   on
[00:13:52.080 --> 00:13:52.170]   and
[00:13:52.170 --> 00:13:52.290]   so
[00:13:52.290 --> 00:13:52.350]   on
[00:13:52.350 --> 00:13:52.380]   and
[00:13:52.380 --> 00:13:52.440]   so
[00:13:52.440 --> 00:13:52.500]   on
[00:13:52.500 --> 00:13:52.640]   and
[00:13:52.640 --> 00:13:52.670]   so
[00:13:52.670 --> 00:13:52.710]   on
[00:13:52.710 --> 00:13:52.800]   and
[00:13:52.800 --> 00:13:52.860]   so
[00:13:52.860 --> 00:13:52.920]   on
[00:13:52.920 --> 00:13:53.010]   and
[00:13:53.010 --> 00:13:53.070]   so
[00:13:53.070 --> 00:13:53.150]   on
[00:13:53.150 --> 00:13:53.210]   and
[00:13:53.210 --> 00:13:53.280]   so
[00:13:53.280 --> 00:13:53.330]   on
[00:13:53.330 --> 00:13:53.420]   and
[00:13:53.420 --> 00:13:53.490]   so
[00:13:53.490 --> 00:13:53.550]   on
[00:13:53.550 --> 00:13:53.700]   and
[00:13:53.700 --> 00:13:53.760]   so
[00:13:53.760 --> 00:13:53.790]   on
[00:13:53.790 --> 00:13:53.850]   and
[00:13:53.850 --> 00:13:53.910]   so
[00:13:53.910 --> 00:13:54.060]   on
[00:13:54.060 --> 00:13:54.060]   and
[00:13:54.060 --> 00:13:54.180]   so
[00:13:54.180 --> 00:13:54.230]   on
[00:13:54.230 --> 00:13:54.290]   and
[00:13:54.290 --> 00:13:54.340]   so
[00:13:54.340 --> 00:13:54.390]   on
[00:13:54.390 --> 00:13:54.480]   and
[00:13:54.480 --> 00:13:54.540]   so
[00:13:54.540 --> 00:13:54.590]   on
[00:13:54.590 --> 00:13:54.680]   and
[00:13:54.680 --> 00:13:54.810]   so
[00:13:54.810 --> 00:13:54.810]   on
[00:13:54.810 --> 00:13:54.900]   and
[00:13:54.900 --> 00:13:54.960]   so
[00:13:54.960 --> 00:13:55.020]   on
[00:13:55.020 --> 00:13:55.120]   and
[00:13:55.120 --> 00:13:55.170]   so
[00:13:55.170 --> 00:13:55.230]   on
[00:13:55.230 --> 00:13:55.320]   and
[00:13:55.320 --> 00:13:55.380]   so
[00:13:55.380 --> 00:13:55.440]   on
[00:13:55.440 --> 00:13:55.530]   and
[00:13:55.530 --> 00:13:55.590]   so
[00:13:55.590 --> 00:13:55.740]   on
[00:13:55.740 --> 00:13:55.800]   and
[00:13:55.800 --> 00:13:55.820]   so
[00:13:55.820 --> 00:13:55.860]   on
[00:13:55.860 --> 00:13:55.950]   and
[00:13:55.950 --> 00:13:56.010]   so
[00:13:56.010 --> 00:13:56.070]   on
[00:13:56.070 --> 00:13:56.220]   and
[00:13:56.220 --> 00:13:56.280]   so
[00:13:56.280 --> 00:13:56.300]   on
[00:13:56.300 --> 00:13:56.370]   and
[00:13:56.370 --> 00:13:56.430]   so
[00:13:56.430 --> 00:13:56.490]   on
[00:13:56.490 --> 00:13:56.580]   and
[00:13:56.580 --> 00:13:56.700]   so
[00:13:56.700 --> 00:13:56.790]   on
[00:13:56.790 --> 00:13:56.840]   and
[00:13:56.840 --> 00:13:56.870]   so
[00:13:56.870 --> 00:13:56.910]   on
[00:13:56.910 --> 00:13:57.000]   and
[00:13:57.000 --> 00:13:57.060]   so
[00:13:57.060 --> 00:13:57.210]   on
[00:13:57.210 --> 00:13:57.270]   and
[00:13:57.270 --> 00:13:57.280]   so
[00:13:57.280 --> 00:13:57.330]   on
[00:13:57.330 --> 00:13:57.420]   and
[00:13:57.420 --> 00:13:57.480]   so
[00:13:57.480 --> 00:13:57.600]   on
[00:13:57.600 --> 00:13:57.660]   that
[00:13:57.660 --> 00:13:57.920]   topic
[00:13:57.920 --> 00:13:58.120]   about
[00:13:58.120 --> 00:13:58.360]   the
[00:13:58.360 --> 00:13:58.520]   blue
[00:13:58.520 --> 00:13:58.790]   ring
[00:13:58.790 --> 00:13:58.960]   and
[00:13:58.960 --> 00:13:59.120]   the
[00:13:59.120 --> 00:13:59.400]   orbital
[00:13:59.400 --> 00:14:00.230]   reef
[00:14:00.230 --> 00:14:00.680]   uh
[00:14:00.680 --> 00:14:01.130]   space
[00:14:01.130 --> 00:14:01.620]   infrastructure
[00:14:01.620 --> 00:14:02.260]   projects
[00:14:02.260 --> 00:14:02.830]   what
[00:14:02.830 --> 00:14:03.060]  's
[00:14:03.060 --> 00:14:03.180]   your
[00:14:03.180 --> 00:14:03.540]   vision
[00:14:03.540 --> 00:14:03.600]   for
[00:14:03.600 --> 00:14:03.930]   these
[00:14:03.930 --> 00:14:04.900]   so
[00:14:04.900 --> 00:14:05.320]   blue
[00:14:05.320 --> 00:14:05.730]   ring
[00:14:05.730 --> 00:14:05.950]   is
[00:14:05.950 --> 00:14:06.500]   a
[00:14:06.500 --> 00:14:06.640]   very
[00:14:06.640 --> 00:14:07.160]   interesting
[00:14:07.160 --> 00:14:07.960]   spacecraft
[00:14:07.960 --> 00:14:08.710]   that
[00:14:08.710 --> 00:14:09.100]   is
[00:14:09.100 --> 00:14:10.200]   designed
[00:14:10.200 --> 00:14:10.540]   to
[00:14:10.540 --> 00:14:10.930]   take
[00:14:10.930 --> 00:14:11.200]   up
[00:14:11.200 --> 00:14:11.400]   to
[00:14:11.400 --> 00:14:11.610]   3
[00:14:11.610 --> 00:14:12.140]   000
[00:14:12.140 --> 00:14:12.810]   kilograms
[00:14:12.810 --> 00:14:12.980]   of
[00:14:12.980 --> 00:14:13.440]   payload
[00:14:13.440 --> 00:14:13.440]
[00:14:13.440 --> 00:14:13.610]   up
[00:14:13.610 --> 00:14:13.840]   to
[00:14:13.840 --> 00:14:14.050]   ge
[00:14:14.050 --> 00:14:14.240]  os
[00:14:14.240 --> 00:14:14.960]  ynchron
[00:14:14.960 --> 00:14:15.270]  ous
[00:14:15.270 --> 00:14:15.790]   orbit
[00:14:15.790 --> 00:14:15.990]   or
[00:14:15.990 --> 00:14:16.190]   in
[00:14:16.190 --> 00:14:16.710]   lunar
[00:14:16.710 --> 00:14:17.600]   vicinity
[00:14:17.600 --> 00:14:17.770]   it
[00:14:17.770 --> 00:14:17.960]   has
[00:14:17.960 --> 00:14:18.420]   two
[00:14:18.420 --> 00:14:19.040]   different
[00:14:19.040 --> 00:14:19.470]   kinds
[00:14:19.470 --> 00:14:19.630]   of
[00:14:19.630 --> 00:14:20.540]   propulsion
[00:14:20.540 --> 00:14:21.000]   it
[00:14:21.000 --> 00:14:21.650]   has
[00:14:21.650 --> 00:14:21.750]   chemical
[00:14:21.750 --> 00:14:22.700]   propulsion
[00:14:22.700 --> 00:14:22.960]   and
[00:14:22.960 --> 00:14:23.270]   it
[00:14:23.270 --> 00:14:23.700]   has
[00:14:23.700 --> 00:14:24.180]   electric
[00:14:24.180 --> 00:14:25.160]   propulsion
[00:14:25.160 --> 00:14:25.560]   and
[00:14:25.560 --> 00:14:25.960]   so
[00:14:25.960 --> 00:14:26.030]   it
[00:14:26.030 --> 00:14:26.440]   can
[00:14:26.440 --> 00:14:26.770]   you
[00:14:26.770 --> 00:14:27.260]   can
[00:14:27.260 --> 00:14:27.430]   be
[00:14:27.430 --> 00:14:27.750]   you
[00:14:27.750 --> 00:14:28.160]   can
[00:14:28.160 --> 00:14:28.440]   use
[00:14:28.440 --> 00:14:28.740]   blue
[00:14:28.740 --> 00:14:29.040]   ring
[00:14:29.040 --> 00:14:29.230]   in
[00:14:29.230 --> 00:14:29.260]   a
[00:14:29.260 --> 00:14:29.710]   couple
[00:14:29.710 --> 00:14:30.380]   different
[00:14:30.380 --> 00:14:30.700]   ways
[00:14:30.700 --> 00:14:30.900]   you
[00:14:30.900 --> 00:14:31.180]   can
[00:14:31.180 --> 00:14:31.570]   slowly
[00:14:31.570 --> 00:14:31.870]   move
[00:14:31.870 --> 00:14:32.090]   let
[00:14:32.090 --> 00:14:32.460]  's
[00:14:32.460 --> 00:14:32.480]   say
[00:14:32.480 --> 00:14:32.640]   up
[00:14:32.640 --> 00:14:32.760]   to
[00:14:32.760 --> 00:14:32.990]   ge
[00:14:32.990 --> 00:14:33.070]  os
[00:14:33.070 --> 00:14:33.570]  ynchron
[00:14:33.570 --> 00:14:33.920]  ous
[00:14:33.920 --> 00:14:34.100]   orbit
[00:14:34.100 --> 00:14:34.420]   using
[00:14:34.420 --> 00:14:34.940]   electric
[00:14:34.940 --> 00:14:35.590]   propulsion
[00:14:35.590 --> 00:14:35.850]   that
[00:14:35.850 --> 00:14:36.170]   might
[00:14:36.170 --> 00:14:36.430]   take
[00:14:36.430 --> 00:14:36.620]   you
[00:14:36.620 --> 00:14:36.890]   know
[00:14:36.890 --> 00:14:37.470]   100
[00:14:37.470 --> 00:14:37.730]   days
[00:14:37.730 --> 00:14:37.860]   or
[00:14:37.860 --> 00:14:38.450]   150
[00:14:38.450 --> 00:14:38.710]   days
